Scientific Name
Agave parviflora
Agave victoriae-reginae
Nolina interrata
Yucca queretaroensis
Galanthus allenii
Galanthus alpinus
Galanthus angustifolius
Galanthus cilicicus
Galanthus elwesii
Galanthus fosteri
Galanthus gracilis
Galanthus grandiflorus
Galanthus ikariae
Galanthus koenenianus
Galanthus krasnovii
Galanthus lagodechianus
Galanthus nivalis
"Galanthus nivalis ""flore pleno"""
Galanthus peshmenii
Galanthus platyphyllus
Galanthus plicatus
Galanthus reginae-olgae
Galanthus rizehensis
Galanthus transcaucasicus
Galanthus woronowii
Sternbergia candida
Sternbergia clusiana
Sternbergia colchiciflora
Sternbergia fischeriana
Sternbergia greuteriana
Sternbergia lutea
Sternbergia pulchella
Sternbergia schubertii
Sternbergia sicula
Operculicarya decaryi
Operculicarya hyphaenoides
Operculicarya pachypus
Hoodia alstonii
Hoodia currorii
Hoodia dregei
Hoodia flava
Hoodia gordonii
Hoodia juttae
Hoodia officinalis
Hoodia parviflora
Hoodia pedicellata
Hoodia pilifera
Hoodia ruschii
Hoodia triebneri
Pachypodium ambongense
Pachypodium baronii
Pachypodium bispinosum
Pachypodium brevicaule
Pachypodium decaryi
Pachypodium densiflorum
Pachypodium eburneum
Pachypodium enigmaticum
Pachypodium geayi
Pachypodium hojnyi
Pachypodium horombense
Pachypodium inopinatum
Pachypodium lamerei
Pachypodium lealii
Pachypodium menabeum
Pachypodium mikea
Pachypodium namaquanum
Pachypodium rauhii
Pachypodium rosulatum
Pachypodium rutenbergianum
Pachypodium sofiense
Pachypodium succulentum
Pachypodium windsorii
Rauvolfia serpentina
Panax ginseng
Panax quinquefolius
Araucaria araucana
Beaucarnea compacta
Beaucarnea goldmanii
Beaucarnea gracilis
Beaucarnea guatemalensis
Beaucarnea hiriartiae
Beaucarnea inermis
Beaucarnea pliabilis
Beaucarnea purpusii
Beaucarnea recurvata
Beaucarnea sanctomariana
Beaucarnea stricta
Podophyllum hexandrum
Tillandsia harrisii
Tillandsia kammii
Tillandsia xerographica
Acanthocereus castellae
Acanthocereus chiapensis
Acanthocereus cuixmalensis
Acanthocereus fosterianus
Acanthocereus hesperius
Acanthocereus hirschtianus
Acanthocereus macdougallii
Acanthocereus maculatus
Acanthocereus oaxacensis
Acanthocereus rosei
Acanthocereus tepalcatepecanus
Acanthocereus tetragonus
Acharagma aguirreanum
Acharagma roseanum
Ariocarpus agavoides
Ariocarpus bravoanus
Ariocarpus fissuratus
Ariocarpus kotschoubeyanus
Ariocarpus retusus
Ariocarpus scaphirostris
Ariocarpus trigonus
Armatocereus cartwrightianus
Armatocereus godingianus
Armatocereus laetus
Armatocereus matucanensis
Armatocereus procerus
Armatocereus rauhii
Armatocereus riomajensis
Arrojadoa bahiensis
Arrojadoa dinae
Arrojadoa eriocaulis
Arrojadoa marylaniae
Arrojadoa multiflora
Arrojadoa penicillata
Arrojadoa rhodantha
Arthrocereus glaziovii
Arthrocereus melanurus
Arthrocereus rondonianus
Arthrocereus spinosissimus
Astrophytum asterias
Astrophytum capricorne
Astrophytum caput-medusae
Astrophytum coahuilense
Astrophytum myriostigma
Astrophytum ornatum
Austrocactus bertinii
Austrocactus coxii
Austrocactus ferrarii
Austrocactus hibernus
Austrocactus philippii
Austrocactus spiniflorus
Austrocactus subandinus
Austrocylindropuntia cylindrica
Austrocylindropuntia floccosa
Austrocylindropuntia lauliacoana
Austrocylindropuntia pachypus
Austrocylindropuntia shaferi
Austrocylindropuntia subulata
Austrocylindropuntia vestita
Aztekium hintonii
Aztekium ritteri
Bergerocactus emoryi
Blossfeldia liliputana
Borzicactus acanthurus
Borzicactus fieldianus
Borzicactus hoffmannii
Borzicactus hoxeyi
Borzicactus hutchisonii
Borzicactus hystrix
Borzicactus icosagonus
Borzicactus jajoanus
Borzicactus leonensis
Borzicactus longiserpens
Borzicactus neoroezlii
Borzicactus pachycladus
Borzicactus plagiostoma
Borzicactus sepium
Borzicactus sextonianus
Borzicactus sulcifer
Borzicactus tenuiserpens
Borzicactus xylorhizus
Brachycereus nesioticus
Brasilicereus estevesii
Brasilicereus markgrafii
Brasilicereus phaeacanthus
Brasiliopuntia brasiliensis
Brasiliopuntia schickendantzii
Browningia altissima
Browningia amstutziae
Browningia candelaris
Browningia chlorocarpa
Browningia columnaris
Browningia hernandezii
Browningia hertlingiana
Browningia microsperma
Browningia pilleifera
Browningia utcubambensis
Calymmanthium substerile
Carnegiea gigantea
Castellanosia caineana
Cephalocereus apicicephalium
Cephalocereus columna-trajani
Cephalocereus fulviceps
Cephalocereus senilis
Cereus aethiops
Cereus albicaulis
Cereus bicolor
Cereus estevesii
Cereus fernambucensis
Cereus fricii
Cereus hankeanus
Cereus hexagonus
Cereus hildmannianus
Cereus horrispinus
Cereus insularis
Cereus jamacaru
Cereus lamprospermus
Cereus lanosus
Cereus mirabella
Cereus mortensenii
Cereus phatnospermus
Cereus pierre-braunianus
Cereus repandus
Cereus saddianus
Cereus spegazzinii
Cereus stenogonus
Cereus trigonodendron
Cereus vargasianus
Cereus yungasensis
Cipocereus bradei
Cipocereus crassisepalus
Cipocereus laniflorus
Cipocereus minensis
Cipocereus pleurocarpus
Cipocereus pusilliflorus
Cleistocactus ayopayanus
Cleistocactus baumannii
Cleistocactus brookeae
Cleistocactus buchtienii
Cleistocactus candelilla
Cleistocactus capadalensis
Cleistocactus chrysocephalus
Cleistocactus dependens
Cleistocactus grossei
Cleistocactus hildegardiae
Cleistocactus hyalacanthus
Cleistocactus laniceps
Cleistocactus luribayensis
Cleistocactus morawetzianus
Cleistocactus parapetiensis
Cleistocactus parviflorus
Cleistocactus pungens
Cleistocactus reae
Cleistocactus ritteri
Cleistocactus samaipatanus
Cleistocactus smaragdiflorus
Cleistocactus strausii
Cleistocactus tominensis
Cleistocactus varispinus
Cleistocactus viridiflorus
Cleistocactus winteri
Cleistocana mirabilis
Coleocephalocereus aureus
Coleocephalocereus braunii
Coleocephalocereus buxbaumianus
Coleocephalocereus diersianus
Coleocephalocereus fluminensis
Coleocephalocereus goebelianus
Coleocephalocereus pluricostatus
Coleocephalocereus purpureus
Consolea macracantha
Consolea moniliformis
Consolea spinosissima
Copiapoa ahremephiana
Copiapoa angustiflora
Copiapoa calderana
Copiapoa cinerascens
Copiapoa cinerea
Copiapoa coquimbana
Copiapoa dealbata
Copiapoa decorticans
Copiapoa echinoides
Copiapoa esmeraldana
Copiapoa fiedleriana
Copiapoa grandiflora
Copiapoa humilis
Copiapoa hypogaea
Copiapoa krainziana
Copiapoa longistaminea
Copiapoa marginata
Copiapoa megarhiza
Copiapoa montana
Copiapoa serpentisulcata
Copiapoa solaris
Copiapoa taltalensis
Corryocactus apiciflorus
Corryocactus aureus
Corryocactus ayacuchoensis
Corryocactus ayopayanus
Corryocactus brachypetalus
Corryocactus brevistylus
Corryocactus chachapoyensis
Corryocactus erectus
Corryocactus melanotrichus
Corryocactus pulquinensis
Corryocactus quadrangularis
Corryocactus serpens
Corryocactus squarrosus
Corryocactus tarijensis
Coryphantha clavata
Coryphantha compacta
Coryphantha cornifera
Coryphantha delaetiana
Coryphantha delicata
Coryphantha difficilis
Coryphantha durangensis
Coryphantha echinoidea
Coryphantha echinus
Coryphantha elephantidens
Coryphantha erecta
Coryphantha georgii
Coryphantha glanduligera
Coryphantha glassii
Coryphantha gracilis
Coryphantha hintoniorum
Coryphantha jalpanensis
Coryphantha kracikii
Coryphantha longicornis
Coryphantha macromeris
Coryphantha maiz-tablasensis
Coryphantha neglecta
Coryphantha nickelsiae
Coryphantha octacantha
Coryphantha ottonis
Coryphantha pallida
Coryphantha poselgeriana
Coryphantha potosiana
Coryphantha pseudoechinus
Coryphantha pseudonickelsiae
Coryphantha pulleineana
Coryphantha pycnacantha
Coryphantha ramillosa
Coryphantha recurvata
Coryphantha retusa
Coryphantha robustispina
Coryphantha salinensis
Coryphantha sulcata
Coryphantha tripugionacantha
Coryphantha vaupeliana
Coryphantha vogtherriana
Coryphantha werdermannii
Coryphantha wohlschlageri
Cumarinia odorata
Cumulopuntia boliviana
Cumulopuntia chichensis
Cumulopuntia corotilla
Cumulopuntia ignota
Cumulopuntia iturbicola
Cumulopuntia leucophaea
Cumulopuntia rossiana
Cumulopuntia sphaerica
Cumulopuntia subterranea
Cumulopuntia zehnderi
Cylindropuntia abyssi
Cylindropuntia acanthocarpa
Cylindropuntia alcahes
Cylindropuntia anteojoensis
Cylindropuntia arbuscula
Cylindropuntia bigelovii
Cylindropuntia californica
Cylindropuntia calmalliana
Cylindropuntia caribaea
Cylindropuntia cedrosensis
Cylindropuntia cholla
Cylindropuntia ciribe
Cylindropuntia davisii
Cylindropuntia delgadilloana
Cylindropuntia echinocarpa
Cylindropuntia fulgida
Cylindropuntia ganderi
Cylindropuntia hystrix
Cylindropuntia imbricata
Cylindropuntia kleiniae
Cylindropuntia leptocaulis
Cylindropuntia lindsayi
Cylindropuntia molesta
Cylindropuntia munzii
Cylindropuntia prolifera
Cylindropuntia ramosissima
Cylindropuntia rosea
Cylindropuntia sanfelipensis
Cylindropuntia santamaria
Cylindropuntia spinosior
Cylindropuntia tesajo
Cylindropuntia thurberi
Cylindropuntia tunicata
Cylindropuntia versicolor
Cylindropuntia whipplei
Cylindropuntia wolfii
Dendrocereus nudiflorus
Dendrocereus undulosus
Denmoza rhodacantha
Discocactus bahiensis
Discocactus boliviensis
Discocactus catingicola
Discocactus diersianus
Discocactus ferricola
Discocactus hartmannii
Discocactus heptacanthus
Discocactus horstii
Discocactus placentiformis
Discocactus pseudoinsignis
Discocactus zehntneri
Disocactus ackermannii
Disocactus biformis
Disocactus eichlamii
Disocactus flagelliformis
Disocactus macdougallii
Disocactus macranthus
Disocactus martianus
Disocactus nelsonii
Disocactus phyllanthoides
Disocactus quezaltecus
Disocactus speciosus
Echinocactus grusonii
Echinocactus horizonthalonius
Echinocactus parryi
Echinocactus platyacanthus
Echinocactus polycephalus
Echinocactus texensis
Echinocereus acifer
Echinocereus adustus
Echinocereus apachensis
Echinocereus arizonicus
Echinocereus barthelowanus
Echinocereus berlandieri
Echinocereus bonkerae
Echinocereus brandegeei
Echinocereus bristolii
Echinocereus chisosensis
Echinocereus cinerascens
Echinocereus coccineus
Echinocereus dasyacanthus
Echinocereus engelmannii
Echinocereus enneacanthus
Echinocereus fasciculatus
Echinocereus fendleri
Echinocereus ferreirianus
Echinocereus ferreirianus lindsayi
Echinocereus freudenbergeri
Echinocereus grandis
Echinocereus klapperi
Echinocereus knippelianus
Echinocereus laui
Echinocereus ledingii
Echinocereus leucanthus
Echinocereus longisetus
Echinocereus mapimiensis
Echinocereus maritimus
Echinocereus metornii
Echinocereus mombergerianus
Echinocereus nicholii
Echinocereus nivosus
Echinocereus ortegae
Echinocereus pacificus
Echinocereus palmeri
Echinocereus pamanesiorum
Echinocereus papillosus
Echinocereus parkeri
Echinocereus pectinatus
Echinocereus pensilis
Echinocereus pentalophus
Echinocereus polyacanthus
Echinocereus poselgeri
Echinocereus primolanatus
Echinocereus pseudopectinatus
Echinocereus pulchellus
Echinocereus rayonesensis
Echinocereus reichenbachii
Echinocereus rigidissimus
Echinocereus russanthus
Echinocereus salm-dyckianus
Echinocereus santaritensis
Echinocereus scheeri
Echinocereus schereri
Echinocereus schmollii
Echinocereus sciurus
Echinocereus scopulorum
Echinocereus spinigemmatus
Echinocereus stoloniferus
Echinocereus stramineus
Echinocereus subinermis
Echinocereus triglochidiatus
Echinocereus viereckii
Echinocereus viridiflorus
Echinocereus waldeisii
Echinocereus websterianus
Echinopsis albispinosa
Echinopsis ancistrophora
Echinopsis angelesiae
Echinopsis arachnacantha
Echinopsis arboricola
Echinopsis atacamensis
Echinopsis aurea
Echinopsis ayopayana
Echinopsis backebergii
Echinopsis breviflora
Echinopsis bridgesii
Echinopsis caineana
Echinopsis calochlora
Echinopsis calorubra
Echinopsis camarguensis
Echinopsis candicans
Echinopsis cardenasiana
Echinopsis caulescens
Echinopsis chalaensis
Echinopsis chamaecereus
Echinopsis chiloensis
Echinopsis chrysantha
